Id,realSum,room_type,host_is_superhost,cleanliness_rating,bedrooms,lng,lat,weekends
36,299.0181144986292,Private room,True,9.0,0,4.93986,52.34829000000001,1
37,202.70428608253465,Private room,False,10.0,1,4.885,52.42343,0
37,381.03718979214034,Entire home/apt,False,9.0,1,4.8758599999999985,52.38154,1
38,796.2880509924307,Entire home/apt,False,10.0,2,4.8588,52.35848,0
38,430.2486349682469,Entire home/apt,False,10.0,1,4.84941,52.37788,1
39,504.0658027324069,Private room,False,9.0,1,4.98597,52.36376,0
39,344.48011623274675,Private room,False,9.0,1,4.89843,52.3734,1
40,319.64005342956915,Private room,False,10.0,1,4.90032,52.37525,0
40,406.8146134558152,Private room,True,9.0,1,4.82115,52.38375,1
41,614.4400440559605,Private room,False,9.0,1,4.8996900000000005,52.37513,0
41,749.6543481826918,Entire home/apt,True,10.0,2,4.86204,52.37659,1
42,467.04004874276484,Private room,False,10.0,1,4.90027,52.37469,0
42,491.8801115459424,Private room,False,9.0,1,4.89861,52.37326,1
43,716.3780376350386,Entire home/apt,True,10.0,2,4.841,52.38253,0
43,344.48011623274675,Private room,False,9.0,1,4.89837,52.37355,1
44,350.10428139573037,Private room,False,10.0,0,4.88774,52.38254000000001,0
44,817.1443301384952,Private room,False,10.0,5,4.91319,52.37075,1
45,420.4063459330256,Entire home/apt,False,9.0,1,4.91113,52.36575,1
45,319.64005342956915,Private room,False,10.0,1,4.89831,52.37457,0
46,467.04004874276484,Private room,False,10.0,1,4.90002,52.37341,0
46,255.66517470063042,Private room,True,10.0,1,4.8955199999999985,52.34155,1
47,983.2915426616363,Entire home/apt,True,10.0,2,4.87317,52.36917,0
47,798.8657933587982,Entire home/apt,False,10.0,2,4.9075,52.36296,1
48,368.61715839055137,Private room,True,10.0,1,4.97847,52.29031,1
48,298.78377428350484,Private room,True,9.0,0,4.93986,52.34829000000001,0
49,848.0772385349051,Entire home/apt,False,10.0,3,4.876519999999998,52.36806,1
49,196.6114404893024,Private room,False,9.0,1,4.96617,52.40648,0
50,768.1672251775128,Entire home/apt,False,9.0,2,4.88875,52.35204,1
50,430.2486349682469,Entire home/apt,False,10.0,1,4.84941,52.37788,0
51,469.6177911091322,Private room,True,10.0,1,4.884,52.38,1
51,319.64005342956915,Private room,False,9.0,1,4.89843,52.3734,0
52,613.268342980339,Entire home/apt,False,9.0,1,4.89248,52.37524000000001,1
52,405.64291238019365,Private room,True,9.0,1,4.82115,52.38375,0
53,249.5723291073981,Private room,True,10.0,1,4.97698,52.36234,1
53,334.16914676727674,Private room,True,10.0,1,4.881,52.36600000000001,0
54,430.2486349682469,Entire home/apt,False,10.0,1,4.85087,52.38181,1
54,491.8801115459424,Private room,False,9.0,1,4.89861,52.37326,0
55,319.64005342956915,Private room,False,9.0,1,4.89837,52.37355,0
55,403.06517001382616,Entire home/apt,True,10.0,1,4.93208,52.3651,1
56,442.66866636983576,Private room,False,9.0,1,4.89968,52.37138,1
56,780.3529163639772,Private room,False,10.0,5,4.91319,52.37075,0
57,355.025425913341,Entire home/apt,False,9.0,1,4.91113,52.36575,0
57,977.4330372835284,Entire home/apt,False,9.0,2,4.88391,52.37043,1
58,1044.6886790242072,Entire home/apt,False,10.0,2,4.9075,52.36296,0
58,522.3443395121036,Entire home/apt,True,9.0,2,4.862,52.34439,1
59,1179.9029831509386,Entire home/apt,False,10.0,3,4.89365,52.35973,1
59,847.8428983197807,Entire home/apt,False,10.0,3,4.876519999999998,52.36806,0
60,373.77264312328634,Private room,True,10.0,1,4.884,52.38,0
60,583.7414758746747,Entire home/apt,True,10.0,1,4.87162,52.39226,1
61,374.944344198908,Private room,False,6.0,1,4.89075,52.3816,1
61,613.268342980339,Entire home/apt,False,9.0,1,4.89248,52.37524000000001,0
62,372.36660183254054,Private room,False,10.0,1,4.8611900000000015,52.3442,1
62,238.3239987814309,Private room,True,10.0,1,4.97698,52.36234,0
63,430.2486349682469,Entire home/apt,False,10.0,1,4.85087,52.38181,0
63,479.2257399292293,Shared room,True,10.0,1,4.89,52.361,1
64,347.9952194596115,Entire home/apt,False,6.0,2,4.84034,52.35015,0
64,454.8543575563003,Entire home/apt,True,10.0,1,4.876519999999998,52.39109000000001,1
65,330.4197033252877,Entire home/apt,False,10.0,1,4.85619,52.3778,0
65,614.4400440559605,Entire home/apt,False,10.0,1,4.81785,52.38349,1
66,1179.6686429358142,Entire home/apt,True,10.0,2,4.88428,52.37163,0
66,493.9891734820613,Entire home/apt,False,9.0,1,4.8891800000000005,52.36065,1
67,259.1802779274952,Private room,True,10.0,1,4.859,52.331,0
67,602.0200126543716,Entire home/apt,False,10.0,1,4.8660000000000005,52.36600000000001,1
68,277.9274951374406,Private room,True,10.0,1,4.94543,52.36055,0
68,675.8371804185317,Entire home/apt,False,9.0,1,4.87336,52.38156,1
69,399.5500667869612,Entire home/apt,True,10.0,1,4.980569999999998,52.30865,1
69,467.04004874276484,Entire home/apt,False,9.0,2,4.85835,52.37612,0
70,368.61715839055137,Private room,False,10.0,1,4.89344,52.3764,1
