Id,realSum,room_type,host_is_superhost,cleanliness_rating,bedrooms,lng,lat,weekends,Ciudad
292,734.8909146298597,Entire home/apt,False,9.0,2,4.88518,52.3676,0,amsterdam
296,474.0702551964943,Entire home/apt,False,10.0,2,4.78534,52.35955,0,amsterdam
299,1112.1786609800108,Entire home/apt,False,9.0,2,4.88732,52.38089,0,amsterdam
300,614.4400440559605,Private room,False,9.0,2,4.88085,52.37542,0,amsterdam
306,1137.0187237831883,Entire home/apt,True,9.0,2,4.89591,52.37045,1,amsterdam
309,688.0228716049962,Entire home/apt,False,9.0,2,4.94081,52.36082,1,amsterdam
312,784.3367000210907,Private room,False,9.0,2,4.89668,52.3717,1,amsterdam
314,688.0228716049962,Entire home/apt,False,8.0,2,4.8808,52.32989,0,amsterdam
316,362.5243127973192,Entire home/apt,False,10.0,2,4.911630000000001,52.3542,0,amsterdam
319,817.1443301384951,Entire home/apt,False,10.0,2,4.88359,52.35431,1,amsterdam
322,381.0371897921403,Entire home/apt,False,10.0,2,4.91881,52.33945,1,amsterdam
325,1739.03873643756,Entire home/apt,True,10.0,2,4.894,52.354,0,amsterdam
325,784.3367000210907,Entire home/apt,False,8.0,2,4.8735800000000005,52.37481,1,amsterdam
328,417.8286035666581,Private room,False,10.0,2,4.92598,52.35614,0,amsterdam
329,1263.3280997351956,Entire home/apt,True,9.0,2,4.87706,52.36585,1,amsterdam
331,918.144962857076,Entire home/apt,True,10.0,2,4.84019,52.37578,1,amsterdam
333,548.1217631757786,Entire home/apt,False,10.0,2,4.8536,52.36038,1,amsterdam
334,642.5608698708786,Entire home/apt,False,10.0,2,4.87915,52.35965,1,amsterdam
337,817.1443301384951,Entire home/apt,False,10.0,2,4.8899300000000006,52.35028,1,amsterdam
342,1136.5500433529398,Entire home/apt,True,9.0,2,4.89591,52.37045,0,amsterdam
345,1044.9230192393318,Entire home/apt,True,10.0,2,4.90309,52.35531,1,amsterdam
346,540.6228762918005,Entire home/apt,False,9.0,2,4.94081,52.36082,0,amsterdam
348,526.0937829540928,Entire home/apt,False,9.0,2,4.86266,52.34436,1,amsterdam
351,661.308087080824,Private room,False,9.0,2,4.89668,52.3717,0,amsterdam
352,596.395847491388,Entire home/apt,False,9.0,2,4.91624,52.38908,1,amsterdam
354,1032.502987837743,Entire home/apt,False,10.0,2,4.89504,52.36664,1,amsterdam
356,399.5500667869613,Entire home/apt,False,10.0,2,4.86394,52.3725,0,amsterdam
356,602.0200126543716,Entire home/apt,False,9.0,2,4.85463,52.35152,1,amsterdam
358,319.40571321444475,Private room,True,9.0,2,4.94785,52.31577,0,amsterdam
359,817.1443301384951,Entire home/apt,False,10.0,2,4.88359,52.35431,0,amsterdam
361,546.7157218850327,Entire home/apt,False,10.0,2,4.86311,52.360490000000006,0,amsterdam
362,983.2915426616364,Entire home/apt,False,9.0,2,4.86903,52.361540000000005,1,amsterdam
364,663.6514892320672,Entire home/apt,False,9.0,2,4.87292,52.37503,1,amsterdam
365,860.2629297213696,Private room,True,10.0,2,4.92432,52.37017,1,amsterdam
366,614.4400440559605,Entire home/apt,True,10.0,2,4.90645,52.36286,0,amsterdam
368,784.1023598059663,Entire home/apt,False,8.0,2,4.8735800000000005,52.37481,0,amsterdam
370,694.3500574133527,Private room,False,9.0,2,4.920059999999999,52.35096,1,amsterdam
371,653.8092001968458,Private room,False,10.0,2,4.9206,52.35031,1,amsterdam
372,651.2314578304783,Private room,False,10.0,2,4.92124,52.35076,1,amsterdam
373,409.626696037307,Entire home/apt,False,9.0,2,4.8547,52.3611,1,amsterdam
374,362.7586530124435,Entire home/apt,False,9.0,2,4.85721,52.37795,1,amsterdam
377,489.30236917957495,Entire home/apt,True,10.0,2,4.896730000000001,52.3708,1,amsterdam
378,917.9106226419516,Entire home/apt,True,10.0,2,4.84019,52.37578,0,amsterdam
378,737.2343167811028,Entire home/apt,False,10.0,2,4.9008,52.35304,1,amsterdam
380,700.442903006585,Entire home/apt,False,9.0,2,4.926019999999999,52.35826,1,amsterdam
381,548.1217631757786,Entire home/apt,False,10.0,2,4.8536,52.36038,0,amsterdam
383,642.5608698708786,Entire home/apt,False,10.0,2,4.87915,52.35965,0,amsterdam
384,678.6492630000234,Entire home/apt,True,10.0,2,4.98061,52.29306,1,amsterdam
387,1665.6902491036487,Entire home/apt,False,10.0,2,4.89339,52.3553,1,amsterdam
388,657.558643638835,Entire home/apt,False,10.0,2,4.85281,52.36742,1,amsterdam
390,546.7157218850327,Entire home/apt,False,9.0,2,4.90378,52.34177,1,amsterdam
392,602.254352869496,Entire home/apt,False,9.0,2,4.89895,52.34158,1,amsterdam
394,552.808567478265,Entire home/apt,False,9.0,2,4.97561,52.30793,0,amsterdam
398,762.0743795842806,Entire home/apt,False,10.0,2,4.91403,52.34515,1,amsterdam
399,553.0429076933893,Private room,False,10.0,2,4.84933,52.35133,1,amsterdam
400,491.64577133081815,Entire home/apt,False,9.0,2,4.89452,52.366620000000005,0,amsterdam
400,1167.4829517493497,Entire home/apt,True,10.0,2,4.886909999999999,52.35588,1,amsterdam
401,860.2629297213696,Entire home/apt,False,10.0,2,4.88552,52.36458,1,amsterdam
403,1450.331591404401,Entire home/apt,False,10.0,2,4.90067,52.37423,1,amsterdam
405,602.0200126543716,Entire home/apt,False,9.0,2,4.85463,52.35152,0,amsterdam
406,491.64577133081815,Entire home/apt,False,9.0,2,4.99811,52.2977,1,amsterdam
412,560.5417945773675,Private room,True,10.0,2,4.88846,52.35175,1,amsterdam
415,737.2343167811028,Private room,True,10.0,2,4.92432,52.37017,0,amsterdam
417,342.8397347268765,Entire home/apt,False,10.0,2,4.90117,52.3502,1,amsterdam
418,1179.6686429358142,Entire home/apt,True,10.0,2,4.8840900000000005,52.3709,0,amsterdam
419,657.3243034237106,Private room,False,9.0,2,4.920059999999999,52.35096,0,amsterdam
420,620.7672298643171,Private room,False,10.0,2,4.9206,52.35031,0,amsterdam
421,618.1894874979496,Private room,False,10.0,2,4.92124,52.35076,0,amsterdam
422,409.39235582218265,Entire home/apt,False,9.0,2,4.8547,52.3611,0,amsterdam
423,796.5223912075552,Entire home/apt,False,10.0,2,4.88164,52.3534,1,amsterdam
423,507.5809059592717,Private room,True,9.0,2,4.9110000000000005,52.351000000000006,0,amsterdam
427,700.442903006585,Entire home/apt,False,9.0,2,4.926019999999999,52.35826,0,amsterdam
429,1086.6355775314605,Private room,False,10.0,2,4.8787,52.36646,1,amsterdam
430,614.4400440559605,Entire home/apt,True,9.0,2,4.90076,52.36794,1,amsterdam
432,678.4149227848992,Entire home/apt,True,10.0,2,4.98061,52.29306,0,amsterdam
432,1044.6886790242074,Entire home/apt,False,8.0,2,4.89192,52.37075,1,amsterdam
433,758.3249361422914,Entire home/apt,False,9.0,2,4.849,52.34956,1,amsterdam
435,508.7526070348933,Entire home/apt,False,10.0,2,4.90241,52.35298,1,amsterdam
435,1542.4272959482578,Entire home/apt,False,10.0,2,4.89339,52.3553,0,amsterdam
436,968.29376889368,Entire home/apt,False,9.0,2,4.91,52.394,0,amsterdam
439,891.1958381177794,Entire home/apt,False,10.0,2,4.85606,52.34576,1,amsterdam
439,624.2823330911818,Entire home/apt,False,9.0,2,4.90378,52.34177,0,amsterdam
441,1527.663862395426,Entire home/apt,True,10.0,2,4.884,52.376000000000005,1,amsterdam
441,602.254352869496,Entire home/apt,False,9.0,2,4.89895,52.34158,0,amsterdam
443,513.673751552504,Entire home/apt,True,10.0,2,4.77833,52.37637,1,amsterdam
448,921.6600660839408,Entire home/apt,False,10.0,2,4.871569999999999,52.36744,1,amsterdam
450,712.6285941930495,Entire home/apt,False,10.0,2,4.91403,52.34515,0,amsterdam
451,553.0429076933893,Private room,False,10.0,2,4.84933,52.35133,0,amsterdam
454,1167.2486115342256,Entire home/apt,True,10.0,2,4.886909999999999,52.35588,0,amsterdam
454,700.442903006585,Entire home/apt,False,10.0,2,4.89139,52.355340000000005,1,amsterdam
455,860.2629297213696,Entire home/apt,False,10.0,2,4.88552,52.36458,0,amsterdam
457,1450.331591404401,Entire home/apt,False,10.0,2,4.90067,52.37423,0,amsterdam
463,491.64577133081815,Entire home/apt,False,9.0,2,4.99811,52.2977,0,amsterdam
465,909.4743748974762,Entire home/apt,True,9.0,2,4.88719,52.34538,1,amsterdam
