Id,realSum,room_type,host_is_superhost,cleanliness_rating,bedrooms,lng,lat,weekends,Ciudad
63,479.2257399292293,Shared room,True,10.0,1,4.89,52.361,1,amsterdam
64,347.9952194596115,Entire home/apt,False,6.0,2,4.84034,52.35015,0,amsterdam
64,454.8543575563003,Entire home/apt,True,10.0,1,4.876519999999999,52.391090000000005,1,amsterdam
65,330.4197033252877,Entire home/apt,False,10.0,1,4.85619,52.3778,0,amsterdam
65,614.4400440559605,Entire home/apt,False,10.0,1,4.81785,52.38349,1,amsterdam
66,1179.6686429358142,Entire home/apt,True,10.0,2,4.88428,52.37163,0,amsterdam
66,493.9891734820613,Entire home/apt,False,9.0,1,4.8891800000000005,52.36065,1,amsterdam
67,259.1802779274952,Private room,True,10.0,1,4.859,52.331,0,amsterdam
67,602.0200126543716,Entire home/apt,False,10.0,1,4.8660000000000005,52.36600000000001,1,amsterdam
68,277.9274951374406,Private room,True,10.0,1,4.94543,52.36055,0,amsterdam
68,675.8371804185317,Entire home/apt,False,9.0,1,4.87336,52.38156,1,amsterdam
69,399.5500667869613,Entire home/apt,True,10.0,1,4.980569999999999,52.30865,1,amsterdam
69,467.0400487427648,Entire home/apt,False,9.0,2,4.85835,52.37612,0,amsterdam
70,368.6171583905514,Private room,False,10.0,1,4.89344,52.3764,1,amsterdam
70,583.7414758746748,Entire home/apt,True,10.0,1,4.87162,52.39226,0,amsterdam
71,374.944344198908,Private room,False,6.0,1,4.89075,52.3816,0,amsterdam
71,209.03147189089125,Private room,True,10.0,1,4.96166,52.36943,1,amsterdam
72,372.3666018325405,Private room,False,10.0,1,4.861190000000001,52.3442,0,amsterdam
72,209.03147189089125,Private room,True,10.0,1,4.9604,52.36854,1,amsterdam
73,640.4518079347597,Entire home/apt,False,9.0,1,4.89663,52.35781,1,amsterdam
73,479.2257399292293,Shared room,True,10.0,1,4.89,52.361,0,amsterdam
74,454.8543575563003,Entire home/apt,True,10.0,1,4.876519999999999,52.391090000000005,0,amsterdam
74,165.9128723080168,Private room,True,10.0,1,4.99256,52.29314,1,amsterdam
75,209.03147189089125,Private room,False,10.0,1,4.96173,52.37003,1,amsterdam
75,206.4537295245237,Private room,False,9.0,1,4.798369999999999,52.35413,0,amsterdam
76,934.0800974855296,Private room,False,10.0,1,4.90714,52.36799,1,amsterdam
76,497.7386169240504,Private room,False,10.0,1,4.88712,52.38237,0,amsterdam
77,399.5500667869613,Entire home/apt,True,10.0,1,4.980569999999999,52.30865,0,amsterdam
77,234.57455533944184,Private room,False,9.0,1,4.85743,52.37769,1,amsterdam
78,227.310008670588,Private room,False,9.0,1,4.80823,52.3569,1,amsterdam
78,761.8400393691562,Private room,False,9.0,2,4.87953,52.37845,0,amsterdam
79,317.0623110632016,Private room,False,8.0,1,4.86247,52.38767,0,amsterdam
79,489.30236917957495,Private room,False,10.0,1,4.8895800000000005,52.38002,1,amsterdam
80,410.5640568978043,Private room,False,8.0,1,4.88956,52.38126,1,amsterdam
80,319.40571321444475,Private room,False,10.0,1,4.89344,52.3764,0,amsterdam
81,987.0409861036252,Entire home/apt,False,10.0,2,4.80772,52.36412,1,amsterdam
81,209.03147189089125,Private room,True,10.0,1,4.96166,52.36943,0,amsterdam
82,209.03147189089125,Private room,True,10.0,1,4.9604,52.36854,0,amsterdam
82,217.70205985049097,Private room,True,10.0,1,4.94459,52.3186,1,amsterdam
83,946.5001288871184,Entire home/apt,True,10.0,2,4.89855,52.37279,1,amsterdam
83,640.4518079347597,Entire home/apt,False,9.0,1,4.89663,52.35781,0,amsterdam
84,209.03147189089125,Private room,True,10.0,1,4.96173,52.37003,0,amsterdam
84,1557.4250697162142,Entire home/apt,True,9.0,2,4.882280000000001,52.37451,1,amsterdam
85,934.0800974855296,Private room,True,10.0,1,4.90714,52.36799,0,amsterdam
85,317.0623110632016,Private room,True,10.0,1,4.91,52.402,1,amsterdam
86,594.5211257703935,Entire home/apt,False,10.0,3,4.97192,52.29679,1,amsterdam
86,210.2031729665128,Private room,False,9.0,1,4.85743,52.37769,0,amsterdam
87,1290.5115646896163,Entire home/apt,False,10.0,2,4.89511,52.3668,1,amsterdam
87,221.2171630773557,Private room,False,9.0,1,4.80823,52.3569,0,amsterdam
88,441.2626250790898,Private room,False,10.0,1,4.8895800000000005,52.38002,0,amsterdam
88,1043.516977948586,Entire home/apt,True,9.0,2,4.89647,52.34773,1,amsterdam
89,325.498558807677,Private room,False,8.0,1,4.88956,52.38126,0,amsterdam
89,1044.6886790242074,Entire home/apt,False,10.0,1,4.93297,52.3617,1,amsterdam
90,792.7729477655661,Entire home/apt,False,10.0,2,4.80772,52.36412,0,amsterdam
90,310.9694654699693,Entire home/apt,False,9.0,1,4.94479,52.3678,1,amsterdam
91,213.95261640850188,Private room,True,10.0,1,4.94459,52.3186,0,amsterdam
91,295.2686710566401,Entire home/apt,False,9.0,1,4.894430000000001,52.41516,1,amsterdam
92,1557.19072950109,Entire home/apt,True,9.0,2,4.882280000000001,52.37451,0,amsterdam
92,414.3135003397933,Entire home/apt,False,10.0,1,4.90681,52.35361,1,amsterdam
93,317.0623110632016,Private room,True,10.0,1,4.91,52.402,0,amsterdam
93,307.22002202798024,Entire home/apt,False,7.0,0,4.91979,52.33963,1,amsterdam
94,319.6400534295691,Entire home/apt,True,10.0,1,4.90258,52.3432,0,amsterdam
94,3005.413258969372,Entire home/apt,False,9.0,4,4.88478,52.38683,1,amsterdam
95,539.4511752161789,Entire home/apt,False,10.0,1,4.90733,52.34038,1,amsterdam
95,1044.6886790242074,Entire home/apt,False,10.0,1,4.93297,52.3617,0,amsterdam
96,491.64577133081815,Entire home/apt,True,10.0,1,4.8905,52.35245,1,amsterdam
96,310.9694654699693,Entire home/apt,False,9.0,1,4.94479,52.3678,0,amsterdam
